id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency,volume_to_market_cap,risk_flag
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,80983.0,1626675710555,1,1626678787907,24323595290.0,81864.0,80838.0,-245.03478066825483,-0.30166,-4886672473.8532715,-0.29951,20086640.0,20086678.0,21000000.0,126080.0,-35.76853,2025-10-06T10:57:42.000Z,67.81,119328.05131,2013-07-05T16:00:00.000Z,,2026-09-19 22:13:20+00:00,-0.30166,5.1,0.014952946756487262,False
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2621.75,320015076366,2,320015076366,11514725620.0,2655.71,2604.22,-7.394760490410135,-0.28126,-894983334.3422852,-0.27889,122061836.5153193,122061836.5153193,,4946.05,-46.9931,2025-08-24T11:21:03.000Z,0.432979,605413.8967,2015-10-19T16:00:00.000Z,"{'times': 42.278818491405005, 'currency': 'btc', 'percentage': 4227.881849140501}",2026-09-19 22:13:20+00:00,-0.28126,4.3,0.03598182232774137,False
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999508,183294384385,3,188758639415,50960731325.0,0.999766,0.999502,-0.00021146266499239,-0.02115,-96700801.43789673,-0.05273,183384649794.42834,188851595759.0362,,1.32,-24.45686,2018-07-23T16:00:00.000Z,0.572521,74.58011,2015-03-01T16:00:00.000Z,,2026-09-19 22:13:20+00:00,-0.02115,0.0,0.2780266918486696,False
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,758.38,100985880689,4,100985880227,972392874.0,772.67,757.65,-5.243505891623386,-0.68666,-698287092.2329559,-0.68672,133160312.03,133160310.25,200000000.0,1369.99,-44.64359,2025-10-13T00:41:24.000Z,0.0398177,1904526.0222,2017-10-18T16:00:00.000Z,,2026-09-19 22:13:20+00:00,-0.68666,4.6,0.009628998305165238,False
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.4,88176393839,5,140211233970,3172512296.0,1.45,1.39,-9.5334423561022e-05,-0.0068,-5994553.224914551,-0.0068,62879209849.0,99985622230.0,100000000000.0,3.65,-61.54228,2025-07-17T19:40:53.000Z,0.00268621,52104.24702,2014-05-21T16:00:00.000Z,,2026-09-19 22:13:20+00:00,-0.0068,3.3,0.03597915675472785,False
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,0.999635,74073798177,6,74211319639,12474449519.0,0.99983,0.999602,-0.000170926224673296,-0.0171,152904258.0,0.20685,74100870036.42174,74256061160.73586,,1.043,-4.20043,2018-11-14T16:00:00.000Z,0.877647,13.89944,2023-03-11T00:02:13.000Z,,2026-09-19 22:13:20+00:00,-0.0171,0.0,0.16840569575212266,False
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,110.15,64698960466,7,69876981460,3098146655.0,113.93,110.25,-3.2309246963024094,-2.8496,-1889711322.4277039,-2.83789,587367610.0989969,634376098.9549229,,293.31,-62.44585,2025-01-19T03:15:27.000Z,0.500801,21894.91836,2020-05-11T11:35:23.000Z,,2026-09-19 22:13:20+00:00,-2.8496,9.2,0.047885570845115966,False
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/photo_2026-04-13_09-59-16.png?1776048311,0.33948,32235671791,8,32236125346,386031855.0,0.339711,0.337075,0.00086925,0.25671,82916752.0,0.25788,94955991096.57959,94957370375.85039,,0.431288,-21.28697,2024-12-03T16:10:40.000Z,0.00180434,18714.62574,2017-11-11T16:00:00.000Z,"{'times': 177.71689024592428, 'currency': 'usd', 'percentage': 17771.689024592426}",2026-09-19 22:13:20+00:00,0.25671,-0.1,0.011975300452952796,False
zcash,zec,Zcash,https://coin-images.coingecko.com/coins/images/486/large/Brandmark-Yellow_%281%29.png?1785810558,1473.12,24954958301,9,24956914783,1311412993.0,1590.8,1468.27,-30.537451237414416,-2.03088,-515317420.6225052,-2.02321,16940251.7280448,16941612.6655448,21000000.0,3191.93,-53.84873,2016-10-28T16:00:00.000Z,16.08,9061.09415,2024-07-04T20:22:29.000Z,,2026-09-19 22:13:20+00:00,-2.03088,31.0,0.052551199532457196,False
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.017,23140466333,10,23140466333,345014.0,1.044,1.001,-0.012492288717164124,-1.21361,-231347796.73926544,-0.98986,22756817018.848,22756817018.848,,1.061,-4.11849,2026-08-03T14:19:20.000Z,0.155357,554.532,2025-10-31T06:27:24.000Z,,2026-09-19 21:24:00+00:00,-1.21361,1.5,1.490955260084732e-05,False
